# Метеостанция Санкт-Петербург, Россия, WMO_ID=26063, выборка с 16.11.2020 по 27.12.2020, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26063&lang=ru
#
"Местное время в Санкт-Петербурге";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"22.12.2020 12:00";"1.2";"764.2";"764.5";"0.1";"93";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"200-300";"";"";"10.0";"0.2";"";"";"";"";"";"";
"22.12.2020 09:00";"1.0";"764.1";"764.5";"-0.1";"92";"Ветер, дующий с юго-запада";"2";"";"";"100%.";"Снег неливневый. ";"Дождь со снегом или другими видами твердых осадков";"Морось.";"0.5";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"10.0";"-0.2";"2.0";"12";"";"";"Неровный слой слежавшегося или мокрого снега покрывает почву полностью.";"3.0";
"22.12.2020 06:00";"0.7";"764.2";"764.6";"-0.5";"92";"Ветер, дующий с юго-запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"0.5";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-0.5";"2.0";"12";"";"";"";"";
"22.12.2020 03:00";"1.0";"764.7";"765.1";"-0.4";"87";"Ветер, дующий с юго-юго-запада";"4";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-1.0";"";"";"";"";"";"";
"22.12.2020 00:00";"1.3";"765.1";"765.4";"0.0";"84";"Ветер, дующий с юго-юго-запада";"4";"";"11";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-1.1";"";"";"";"";"";"";
"21.12.2020 21:00";"1.7";"765.1";"765.5";"-1.0";"84";"Ветер, дующий с юго-юго-запада";"3";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"1.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-0.8";"Следы осадков";"12";"";"";"";"";
"21.12.2020 18:00";"1.2";"766.1";"766.5";"-1.0";"90";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-0.3";"Следы осадков";"12";"";"";"";"";
"21.12.2020 15:00";"0.4";"767.1";"767.5";"-0.4";"94";"Ветер, дующий с юго-запада";"4";"";"";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"4.0";"-0.4";"";"";"";"";"";"";
"21.12.2020 12:00";"0.4";"767.5";"767.8";"-0.2";"95";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"4.0";"-0.3";"";"";"";"";"";"";
"21.12.2020 09:00";"0.5";"767.7";"768.1";"-0.6";"95";"Ветер, дующий с юга";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"0.4";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"10.0";"-0.2";"Следы осадков";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.";"Измерение невозможно или неточно.";
